policy,seed,type,instance,nnodes,nlps,stime,gap,status,ndomchgs,ncutoffs,walltime,proctime
internal:relpscost,0,big,data/instances/ilbb/test_instances/seymour1.mps.gz,861,1106,41.47,0.0,infeasible,50,0,43.923085095360875,43.908114595
internal:relpscost,1,big,data/instances/ilbb/test_instances/seymour1.mps.gz,941,1322,53.47,0.0,infeasible,79,0,56.352909073233604,56.367393289999995
internal:relpscost,2,big,data/instances/ilbb/test_instances/seymour1.mps.gz,811,1084,42.03,0.0,infeasible,68,0,44.332558393478394,44.343557112
internal:relpscost,3,big,data/instances/ilbb/test_instances/seymour1.mps.gz,933,1203,46.67,0.0,infeasible,53,0,49.31708409264684,49.32956211000001
internal:relpscost,4,big,data/instances/ilbb/test_instances/seymour1.mps.gz,795,1059,43.24,0.0,infeasible,60,0,45.6530096642673,45.663205229
gcnn:baseline,0,big,data/instances/ilbb/test_instances/seymour1.mps.gz,237202,144517,3600.0,0.009011067277760203,timelimit,0,0,3818.3772245701402,3837.1532521440004
gcnn:baseline,1,big,data/instances/ilbb/test_instances/seymour1.mps.gz,365424,201451,3600.0,0.0028472529298778602,timelimit,0,0,3856.79994966276,3884.871513478
gcnn:baseline,2,big,data/instances/ilbb/test_instances/seymour1.mps.gz,376867,212840,3600.0,0.001411864430882775,timelimit,0,0,3860.7051893360913,3885.7253891480004
gcnn:baseline,3,big,data/instances/ilbb/test_instances/seymour1.mps.gz,351686,204750,3600.0,0.0014475487607647508,timelimit,0,0,3856.857204871252,3885.114365667001
gcnn:baseline,4,big,data/instances/ilbb/test_instances/seymour1.mps.gz,287738,166911,3600.0,0.004509375541617447,timelimit,0,0,3833.387283243239,3855.970981921999
internal:relpscost,0,big,data/instances/ilbb/test_instances/map18.mps.gz,269,327,164.44,0.0,infeasible,38,0,170.58635290712118,170.65609277800104
internal:relpscost,1,big,data/instances/ilbb/test_instances/map18.mps.gz,307,369,145.05,0.0,infeasible,40,0,150.60329265892506,150.66493767700013
internal:relpscost,2,big,data/instances/ilbb/test_instances/map18.mps.gz,273,334,169.99,0.0,infeasible,38,0,175.73993356525898,175.79857570699824
internal:relpscost,3,big,data/instances/ilbb/test_instances/map18.mps.gz,273,345,177.95,0.0,infeasible,41,0,183.97514869831502,184.02854589399794
internal:relpscost,4,big,data/instances/ilbb/test_instances/map18.mps.gz,233,292,144.83,0.0,infeasible,41,0,150.63554762490094,150.68788358700112
gcnn:baseline,0,big,data/instances/ilbb/test_instances/map18.mps.gz,6071,6145,858.73,0.0,infeasible,0,0,881.2338130008429,880.3903609110021
gcnn:baseline,1,big,data/instances/ilbb/test_instances/map18.mps.gz,1613,1608,220.38,0.0,infeasible,0,0,227.95192024484277,227.67267335499855
gcnn:baseline,2,big,data/instances/ilbb/test_instances/map18.mps.gz,15540,17737,3600.0,0.032047616996222696,timelimit,0,0,3674.9474390726537,3672.501769118997
gcnn:baseline,3,big,data/instances/ilbb/test_instances/map18.mps.gz,2101,2004,266.49,0.0,infeasible,0,0,274.94811912998557,274.5715702319976
gcnn:baseline,4,big,data/instances/ilbb/test_instances/map18.mps.gz,2741,2570,281.55,0.0,infeasible,0,0,290.9049463067204,290.6089696679992
internal:relpscost,0,big,data/instances/ilbb/test_instances/mine-166-5.mps.gz,284,488,37.6,0.0,infeasible,110,0,39.545258302241564,39.553873531000136
internal:relpscost,1,big,data/instances/ilbb/test_instances/mine-166-5.mps.gz,543,703,35.05,0.0,infeasible,135,0,36.8899605050683,36.897792438998295
internal:relpscost,2,big,data/instances/ilbb/test_instances/mine-166-5.mps.gz,305,554,35.41,0.0,infeasible,114,0,37.31504974514246,37.32352231600089
internal:relpscost,3,big,data/instances/ilbb/test_instances/mine-166-5.mps.gz,56,310,31.78,0.0,infeasible,45,0,33.65487418696284,33.66291720499794
internal:relpscost,4,big,data/instances/ilbb/test_instances/mine-166-5.mps.gz,1,311,39.59,0.0,infeasible,0,0,41.827799102291465,41.83699070000148
gcnn:baseline,0,big,data/instances/ilbb/test_instances/mine-166-5.mps.gz,388188,315603,3600.0,0.040637691851540696,timelimit,0,0,3870.8640618976206,3893.5858709709973
gcnn:baseline,1,big,data/instances/ilbb/test_instances/mine-166-5.mps.gz,224336,211330,1852.7,0.0,infeasible,0,0,1992.8302508853376,2009.7966513409992
gcnn:baseline,2,big,data/instances/ilbb/test_instances/mine-166-5.mps.gz,133893,120870,3600.0,0.10883682018554787,timelimit,0,0,3745.6581891756505,3754.9326559760048
gcnn:baseline,3,big,data/instances/ilbb/test_instances/mine-166-5.mps.gz,224842,180728,3600.0,0.15036081183337158,timelimit,0,0,3790.554162234068,3802.897454727994
gcnn:baseline,4,big,data/instances/ilbb/test_instances/mine-166-5.mps.gz,262707,230733,3600.0,0.023944220344141655,timelimit,0,0,3804.150127943605,3819.286633771
internal:relpscost,0,big,data/instances/ilbb/test_instances/neos18.mps.gz,931,1824,24.91,0.0,infeasible,487,0,27.799392614513636,27.812974029999168
internal:relpscost,1,big,data/instances/ilbb/test_instances/neos18.mps.gz,1911,3272,33.87,0.0,infeasible,687,0,37.96118732355535,37.97590703300375
