policy,seed,type,instance,nnodes,nlps,stime,gap,status,ndomchgs,ncutoffs,walltime,proctime
internal:relpscost,0,big,data/instances/ilbb/train_instances/air04.mps.gz,7,86,31.7,0.0,infeasible,11,0,33.10291294939816,33.112967129000005
internal:relpscost,1,big,data/instances/ilbb/train_instances/air04.mps.gz,11,67,38.65,0.0,infeasible,10,0,40.581143191084266,40.569906849999995
internal:relpscost,2,big,data/instances/ilbb/train_instances/air04.mps.gz,7,67,34.46,0.0,infeasible,8,0,36.202693957835436,36.216107208
internal:relpscost,3,big,data/instances/ilbb/train_instances/air04.mps.gz,9,94,37.3,0.0,infeasible,18,0,38.74639540910721,38.75030451800001
internal:relpscost,4,big,data/instances/ilbb/train_instances/air04.mps.gz,7,73,40.36,0.0,infeasible,14,0,42.235980931669474,42.25073115800001
gcnn:baseline,0,big,data/instances/ilbb/train_instances/air04.mps.gz,1640,1392,46.08,0.0,infeasible,0,0,49.543729707598686,48.91993257300001
gcnn:baseline,1,big,data/instances/ilbb/train_instances/air04.mps.gz,1411,1322,54.97,0.0,infeasible,0,0,58.449228851124644,58.55549840900002
gcnn:baseline,2,big,data/instances/ilbb/train_instances/air04.mps.gz,817,752,33.28,0.0,infeasible,0,0,35.40924020111561,35.490495881000015
gcnn:baseline,3,big,data/instances/ilbb/train_instances/air04.mps.gz,1705,1477,47.19,0.0,infeasible,0,0,49.83032989129424,49.97908202799999
gcnn:baseline,4,big,data/instances/ilbb/train_instances/air04.mps.gz,927,720,33.52,0.0,infeasible,0,0,35.83231874555349,35.90626732800001
internal:relpscost,0,big,data/instances/ilbb/train_instances/eil33-2.mps.gz,395,1800,48.34,0.0,infeasible,1274,0,50.98538486845791,50.994543462000024
internal:relpscost,1,big,data/instances/ilbb/train_instances/eil33-2.mps.gz,1609,2633,51.96,0.0,infeasible,1011,0,54.960770009085536,54.98344364999997
internal:relpscost,2,big,data/instances/ilbb/train_instances/eil33-2.mps.gz,303,1409,40.98,0.0,infeasible,1027,0,43.27104303240776,43.28709390400002
internal:relpscost,3,big,data/instances/ilbb/train_instances/eil33-2.mps.gz,447,1868,34.95,0.0,infeasible,1380,0,37.15547894127667,37.16982678099998
internal:relpscost,4,big,data/instances/ilbb/train_instances/eil33-2.mps.gz,699,2107,57.83,0.0,infeasible,1263,0,60.98405698686838,60.97007547199996
